"Carimbo de data/hora","O jogo foi fácil de aprender a jogar.","Os controles do jogo eram intuitivos.","As instruções fornecidas foram claras e suficientes.","A interface do jogo (menus, botões, textos) estava bem organizada.","Não tive dificuldades técnicas (travamentos, lentidão ou bugs).  ","O que você mudaria para tornar o jogo mais fácil de usar?  ","O jogo conseguiu prender minha atenção durante a partida.","O design visual (cores, gráficos, modelos 3D) foi atrativo.","Senti vontade de continuar jogando para melhorar meu desempenho.","As recompensas do jogo (moedas, skins) aumentaram minha motivação.","O jogo foi divertido de jogar.","  O que mais chamou sua atenção no jogo?  ","O jogo me ajudou a compreender melhor os sólidos geométricos.","Consegui relacionar os conceitos do jogo com o que aprendi em sala de aula.","O jogo facilitou a visualização e diferenciação entre sólidos geométricos.","As perguntas estavam adequadas ao conteúdo.","Após jogar, sinto que aprendi ou revisei conteúdos de geometria espacial.","O que você aprendeu ou revisou jogando o Hello Ball ? "
"2025/09/26 11:17:05 AM GMT-3","5","3","5","4","3","Speed, botão de reiniciar dentro da fase","1","2","2","2","1","As perguntas","4","4","4","4","4","Conceitos sobre geometria espacial"
"2025/09/26 11:17:18 AM GMT-3","5","4","4","4","2","Mais rápido ","4","5","5","4","5","As skins","5","5","5","4","5","Alguns conteúdos de geometria espacial"
"2025/09/26 11:17:22 AM GMT-3","5","5","4","4","3","A parte de seleção de respostas, colocar teclas ao inves de comandos.
Exemplo: Resposta A B ou C, dai clica na tecla correspondente ","4","5","4","5","4","As skins","4","2","5","5","4","Fórmulas "
"2025/09/26 11:17:27 AM GMT-3","5","4","5","5","4","","5","5","4","5","5","Skin ","4","5","3","5","5","Revisei conteúdos que estudei durante o ano "
"2025/09/26 11:18:01 AM GMT-3","5","4","5","3","5","","2","2","1","2","3","a possibilidade de comprar novas bolas","3","4","3","4","3","fórmulas"
"2025/09/26 11:18:24 AM GMT-3","5","4","5","3","5","talvez algum keymapping meio transparente em algum lugar da tela","4","4","3","3","3","tema","4","5","4","5","4","Geometria"
"2025/09/26 11:18:29 AM GMT-3","5","3","3","4","4","deixaria mais rápido, pois está muito fácil a ponto de ser entediante ","2","1","2","2","2","A bola","4","5","4","3","3","pirâmides irregulares"
"2025/09/26 11:18:30 AM GMT-3","5","4","5","4","3","Ao acabar a fase ficar verde, marcando que você já terminou ela","3","4","4","5","4","A facilidade de aprender como se joga","5","5","4","5","5","Os sólidos e suas respectivas fórmulas "
"2025/09/26 11:18:35 AM GMT-3","5","4","4","4","5","","3","3","3","4","4","a matemática ","2","4","3","4","2","relembrei sobre os sólidos "
"2025/09/26 11:18:40 AM GMT-3","5","3","3","5","4","seleção de keybind ","3","4","3","2","4","pilha de ações, ficar dando AD no meio do caminho","4","4","5","5","5","solidos convexos e côncavos "
"2025/09/26 11:19:09 AM GMT-3","4","4","5","4","3","","4","2","3","3","3","a bola ","3","4","5","4","3","as formulas"
"2025/09/26 11:19:21 AM GMT-3","3","2","1","2","1","Deixaria com uma mecânica mais interessante e desafiadora","1","3","1","3","1","-","1","1","2","1","1","-"
"2025/09/26 11:19:24 AM GMT-3","5","4","5","5","4","Nada","5","5","4","4","5","A proposta","4","5","4","5","5","Revisei quase todo o conteudo, principalmente formulas que eu nao lembrava ou conhecia "
"2025/09/26 11:19:55 AM GMT-3","5","5","5","3","2","É fácil de mais, tem que dificultar.","3","3","2","5","3","Skins","1","1","2","4","4","Nome das formas"
"2025/09/26 11:19:57 AM GMT-3","4","5","5","4","1","Colocaria setas que apareceriam antes de confirmar a escolha","5","4","3","4","4","As formas","3","4","4","3","4","Conceitos de geometria "
"2025/09/26 11:20:01 AM GMT-3","5","4","5","5","3","Pop ups de instruções assim que abrisse a primeira fase ensinando quais teclas usar. Acredito que permitir utilizar as setas do teclado para escolher as respostas seria mais intuitivo.","5","5","5","5","5","Me mostrou fórmulas e figuras geométricas que eu não conhecia","5","5","5","5","5","As fórmulas, formatos e planificação."
"2025/09/26 11:20:01 AM GMT-3","5","5","2","3","1","Animação, velocidade, instruções (tutorial), e ajustes de bugs. O Dinamismo me faria prender mais atenção.","3","3","1","3","4","O sistema parecido com subway surfers","3","5","5","5","3","Nomenclatura geométrica"
"2025/09/26 11:20:02 AM GMT-3","5","5","4","3","3","Reduziria os bugs do jogo","4","3","4","3","3","As possibilidades para se passar as fases","4","4","4","5","4","Aprendi sobre fórmulas, formas e nomes que anteriormente desconhecia"
"2025/09/26 11:20:23 AM GMT-3","4","3","3","5","2","","3","3","2","4","2","A escolha de cores no jogo","3","5","5","5","5","Principalmente as fórmulas "
"2025/09/26 11:20:40 AM GMT-3","5","3","2","4","2","Deixar mais intuitivo em quais botões apertar para escolher a resposta ","2","2","1","2","3","A estratégia para espalhar o conhecimento de forma divertido ","4","2","3","3","3","Sobre os sólidos geométricos "
"2025/09/26 11:20:54 AM GMT-3","5","4","5","5","5","","4","4","3","4","4","a jogabilidade facilitada","4","4","4","4","4","fórmulas matemática, planos, figuras tridimensionais.."
